VIN (1-10),State,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,2020 Census Tract
3FMTK3R70M,WA,2021,FORD,MUSTANG MACH-E,BEV,False,0,53033032311
5YJSA4H44F,WA,2015,TESLA,MODEL S,BEV,True,208,53073010405
1G1RC6E42E,WA,2014,CHEVROLET,VOLT,PHEV,True,38,53053071503
KNDCC3LD8L,WA,2020,KIA,NIRO,PHEV,False,26,53053060400
WA11ABGE0N,WA,2022,AUDI,E-TRON SPORTBACK,BEV,False,0,53061051802
KMHE54L29H,WA,2017,HYUNDAI,SONATA,PHEV,False,27,53053940010
WA12AAGE7N,WA,2022,AUDI,E-TRON SPORTBACK,BEV,False,0,53061052207
YV4BK0DP1M,WA,2021,VOLVO,XC60,PHEV,False,18,53031950603
KMHC05LH5K,WA,2019,HYUNDAI,IONIQ,BEV,True,124,53011040301
3MW5P7J03M,WA,2021,BMW,330E,PHEV,False,22,53061051921
WA12ABGE5L,WA,2020,AUDI,E-TRON SPORTBACK,BEV,True,218,53073000201
YV4H60DV7P,WA,2023,VOLVO,XC60,PHEV,True,35,53053070209
50EA1DCA2N,WA,2022,LUCID,AIR,BEV,False,0,53037975101
KNAGV4LD5H,WA,2017,KIA,OPTIMA,PHEV,False,29,53031950603
WA1G2AFY3L,WA,2020,AUDI,Q5 E,PHEV,False,20,53073000302
5YJSA1DPXC,WA,2012,TESLA,MODEL S,BEV,True,265,53067010600
KM8S6DA24N,WA,2022,HYUNDAI,SANTA FE,PHEV,True,31,53067010600
1FTBW1XKXP,WA,2023,FORD,TRANSIT,BEV,False,0,53027000201
WA13AAGE7N,WA,2022,AUDI,E-TRON SPORTBACK,BEV,False,0,53033008800
W1KCG2EB8P,WA,2023,MERCEDES-BENZ,EQS-CLASS SEDAN,BEV,False,0,53033022402
WVGJNPE21M,WA,2021,VOLKSWAGEN,ID.4,BEV,False,0,53029971302
5YJXCAE49L,WA,2020,TESLA,MODEL X,BEV,True,289,53009002002
1G1RG6E45D,WA,2013,CHEVROLET,VOLT,PHEV,True,38,53065950800
W1KEG5DB4P,WA,2023,MERCEDES-BENZ,EQE-CLASS SEDAN,BEV,False,0,53011041317
KM8S7DA23N,WA,2022,HYUNDAI,SANTA FE,PHEV,True,31,53033021300
YV4H600Z5N,WA,2022,VOLVO,XC90,PHEV,True,35,53033009802
YV4H60DL5P,WA,2023,VOLVO,XC60,PHEV,True,35,53033010200
WA11AAGE9N,WA,2022,AUDI,E-TRON SPORTBACK,BEV,False,0,53033005600
3MW5P9J03N,WA,2022,BMW,330E,PHEV,False,22,53033025602
YSMET3KA1P,WA,2023,POLESTAR,PS2,BEV,False,0,53011040203
WBAJB1C00L,WA,2020,BMW,530E,PHEV,False,18,53033024500
KM8S6DA28N,WA,2022,HYUNDAI,SANTA FE,PHEV,True,31,53033032317
WDDVP9AB0E,WA,2014,MERCEDES-BENZ,B-CLASS,BEV,True,87,53033004902
WAUSPBFF2G,WA,2016,AUDI,A3,PHEV,False,16,53067012100
KNDC34LA9P,WA,2023,KIA,EV6,BEV,False,0,53011040605
WDDVP9AB0H,WA,2017,MERCEDES-BENZ,B-CLASS,BEV,True,87,53067011100
1FADP3R45H,WA,2017,FORD,FOCUS,BEV,True,100,53033032005
7FCEHEB78P,WA,2023,RIVIAN,EDV,BEV,False,0,53033029206
1GYKPMRL0R,WA,2024,CADILLAC,LYRIQ,BEV,False,0,53033030312
WMZYU7C42J,WA,2018,MINI,COUNTRYMAN,PHEV,False,12,53033006300
KMHM24AC3P,WA,2023,HYUNDAI,IONIQ 6,BEV,False,0,53061052706
1C4RJYD64N,WA,2022,JEEP,GRAND CHEROKEE,PHEV,False,25,53033030308
